Name,Type,Location,Estimated Price (JOD),Budget type,Range 
Petra,Archaeological,Wadi Musa,50 ~ 90,Economy,50 ~ 70 JOD per day
Jerash Ruins,Archaeological,Jerash,10 ~ 20,Premium ,70 ~ 150 JOD per day
Dead Sea,Natural Attraction,Sweimeh,Free (Public Beach),Luxury,150 JOD and above per day
Amman Citadel,Historical,Amman,2 ~ 3,,
Roman Theater,Historical,Amman,2 ~ 3,,
Madaba Mosaic Map,Cultural,Madaba,2 ~ 3,,
Mount Nebo,Scenic,Madaba,Free,,
Wadi Rum,Desert Adventure,Wadi Rum Protected Area,Varies (Tours),,
Ajloun Castle,Historical,Ajloun,2 ~ 3,,
Royal Automobile Museum,Museum,Amman,5 ~ 7,,
Jordan Museum,Museum,Amman,5 ~ 7,,
Children's Museum,Family,Amman,5 ~ 7,,
King Hussein Park,Park,Amman,Free,,
Royal Botanic Garden,Park,Amman,2 ~ 3,,
Dibbeen Forest Reserve,Nature Reserve,North Jordan,5 ~ 7,,
Souk Jara,Market,Amman,Free,,
Rainbow Street,Cultural,Amman,Free,,
The Boulevard,Shopping,Amman,Varies,,
City Mall,Shopping,Amman,Varies,,
Taj Mall,Shopping,Amman,Varies,,
Abdali Mall,Shopping,Amman,Varies,,
Wild Jordan Center,Eco-Tourism,Amman,Varies,,
Escape the Room,Entertainment,Various Locations,15 ~ 20 per person,,
Adventure City,Entertainment,Amman,10 ~ 15 per activity,,
Dream Park,Amusement Park,Amman,10 ~ 15 per person,,
Skydive Jordan,Adventure Sports,Aqaba,Varies (Tandem Jump),,
Aqaba Aquarium,Aquarium,Aqaba,5 ~ 7,,
Karak Castle,Historical,Karak,2 ~ 3,,
Shobak Castle,Historical,Shobak,2 ~ 3,,
Dana Biosphere Reserve,Nature Reserve,Dana,5 ~ 10,,
Ajloun Forest Reserve,Nature Reserve,Ajloun,5 ~ 10,,
Umm Qais (Gadara),Archaeological,Umm Qais,5 ~ 10,,
Wadi Mujib (Siq Trail),Adventure,Wadi Mujib,21 ~ 30,,
The Royal Film Commission Jordan,Cultural,Amman,Free,,
Jordan Folklore Museum,Cultural,Amman,2 ~ 3,,
Haya Cultural Center,Cultural,Amman,2 ~ 3,,
King Abdullah II House of Oper.,Performing Arts,Amman,Varies,,
Talal Abu-Ghazaleh Knowledge Fora,Conference Center,Amman,Varies,,
Qasr Al-Kharrana,Historical,Azraq,2 ~ 3,,
Prophet Moses' Sanctuary,Religious,Ma'in,Free,,
The Jordan Museum,Museum,Amman,5 ~ 7,,
Royal Automobile Museum,Museum,Amman,5 ~ 7,,
Jordan National Gallery of Fine Arts,Art Gallery,Amman,5 ~ 7,,
King Hussein Park,Park,Amman,Free,,
Amman National Park,Park,Amman,Free,,
Tlaa Al Ali Park,Park,Amman,Free,,
Baraka Mall,Shopping,Amman,Varies,,
Taj Lifestyle Mall,Shopping,Amman,Varies,,
Al Abdali Mall,Shopping,Amman,Varies,,
Mecca Mall,Shopping,Amman,Varies,,
Zara Expo,Exhibition Center,Amman,Varies,,
Wild Jordan Center,Eco-Tourism,Amman,Varies,,
Discovery Bedu,Desert Camp,Wadi Rum,Varies,,
Seven Wonders Bedouin Camp,Desert Camp,Petra,Varies,,
King Abdullah Park,Park,Aqaba,Free,,
Aqua Fun Aqaba,Water Park,Aqaba,10 ~ 15,,
South Beach,Beach,Aqaba,Free,,
Jordan Gate Towers,Observation Deck,Amman,Varies,,
Abdoun Bridge,Landmark,Amman,Free,,
Amman Opera House,Performing Arts,Amman,Varies,,
Wadi Al Mujib Adventure Center,Adventure,Wadi Mujib,Varies,,
The Citadel (Jabal al-Qal'a),Historical,Amman,2 ~ 3,,