Name,Type,Emirate,Estimated Price,Budget type,Range 
Dubai Creek,Waterfront,Dubai,Free,Economy,570 ~ 800 AED per day
Dubai Festival City,Shopping,Dubai,Varies,Premium ,900 ~ 1700 AED per day
Sharjah Science Museum,Science Museum,Sharjah,10 ~ 15,Luxury,2000 AED and above per day
Sharjah Maritime Museum,Maritime Museum,Sharjah,5 ~ 10,,
Dubai Silicon Oasis,Technology Park,Dubai,Free,,
Dubai Parks and Resorts,Theme Park,Dubai,295 ~ 330,,
Green Planet,Rainforest Park,Dubai,89 ~ 99,,
Ras Al Khor Wildlife Sanctuary,Wildlife Sanctuary,Dubai,Free,,
The Dubai Mall Ice Rink,Ice Skating Rink,Dubai,55 ~ 75,,
Dubai Garden Glow,Light Park,Dubai,65,,
Sharjah Archaeology Museum,Archaeological,Sharjah,5 ~ 10,,
Bounce Dubai,Entertainment,Dubai,70 ~ 100,,
Aquafun Waterpark,Water Park,Dubai,95 ~ 125,,
Dreamland Aqua Park,Water Park,Umm Al Quwain,160 ~ 250,,
Al Ain Oasis Complex,Oasis,Al Ain,Free,,
Al Ain National Museum,Museum,Al Ain,3 ~ 5,,
Al Ain Camel Market,Market,Al Ain,Free,,
Abu Dhabi National Exhibition C.,Exhibition Center,Abu Dhabi,Varies,,
Yas Waterworld,Water Park,Abu Dhabi,250 ~ 320,,
Yas Kartzone,Go-Karting,Abu Dhabi,75 ~ 100,,
Yas Links Abu Dhabi,Golf Course,Abu Dhabi,Varies,,
Al Jahili Park,Park,Al Ain,Free,,
Al Mamzar Beach,Beach Park,Dubai,5 ~ 30,,
Al Mamzar Park,Park,Dubai,5 ~ 30,,
Al Safa Park,Park,Dubai,3 ~ 5,,
Dubai Miracle Garden,Garden,Dubai,55,,
The Lost Chambers Aquarium,Aquarium,Dubai,65 ~ 120,,
Yas Marina Yacht Club,Yacht Club,Abu Dhabi,Varies,,
Etihad Modern Art Gallery,Art Gallery,Abu Dhabi,Free,,
Abu Dhabi Sailing & Yacht Club,Yacht Club,Abu Dhabi,Varies,,
Al Qudra Lakes,Lakes,Dubai,Free,,
Al Ain Wildlife Centre,Wildlife Center,Al Ain,15 ~ 20,,
Al Ain Zoo and Aquarium,Zoo,Al Ain,30 ~ 35,,
Louvre Museum Abu Dhabi,Art Museum,Abu Dhabi,60,,
Al Maktoum House,Historical,Dubai,3 ~ 5,,
Alserkal Avenue,Arts Hub,Dubai,Free,,
Al Noor Island,Island,Sharjah,25,,
The Corniche,Waterfront,Abu Dhabi,Free,,
Dubai Water Canal,Water Canal,Dubai,Free,,
Palm Islands,Artificial Islands,Dubai,Free,,
Ain Dubai (Bluewaters),Observation Wheel,Dubai,100 ~ 150,,
Dubai Design District,Design District,Dubai,Free,,
Zabeel Park,Park,Dubai,5 ~ 10,,
Dubai Safari Park,Safari Park,Dubai,20 ~ 30,,
City Walk,Urban Living,Dubai,Free,,
JBR - Jumeirah Beach Residence,Beachfront,Dubai,Free,,
Al Maha Desert Resort,Desert Resort,Dubai,Varies,,
The Green Planet,Rainforest Park,Dubai,89 ~ 99,,
Ajman Museum,Museum,Ajman,2 ~ 5,,
Ajman Corniche,Waterfront,Ajman,Free,,
Ajman City Centre,Shopping Mall,Ajman,Varies,,
Ajman Marina,Marina,Ajman,Free,,
Ajman Fish Market,Market,Ajman,Free,,
Ajman China Mall,Shopping Mall,Ajman,Varies,,
Umm Al Quwain Beach,Beach,Umm Al Quwain,Free,,
Umm Al Quwain Fort,Historical,Umm Al Quwain,2 ~ 5,,
Umm Al Quwain Museum,Museum,Umm Al Quwain,2 ~ 5,,
Umm Al Quwain Aquarium,Aquarium,Umm Al Quwain,15 ~ 25,,
UAQ National Museum,Museum,Umm Al Quwain,1 ~2,,
UAQ Motor Racing Club,Motorsport,Umm Al Quwain,Varies (Events),,
Sheikh Zayed Palace Museum,Museum,Al Ain,3 ~ 5,,
Al Ain Oasis Green Mubazzarah,Oasis,Al Ain,Free,,
Qasr Al Hosn,Heritage Site,Abu Dhabi,30 ~ 45,,
Manarat Al Saadiyat,Cultural Center,Abu Dhabi,Free,,
The Founder's Memorial,Memorial,Abu Dhabi,Free,,
Abu Dhabi Falcon Hospital,Wildlife Center,Abu Dhabi,30 ~ 50,,
Women's Handicraft Centre,Handicraft Center,Abu Dhabi,10 ~ 20,,
Yas Mall,Shopping Mall,Abu Dhabi,Varies,,
Yas Beach,Beach,Abu Dhabi,50 ~ 100,,
Yas Marina Circuit Park,Motorsport Park,Abu Dhabi,Free,,
Jebel Hafeet,Mountain,Al Ain,Free,,
Emirates National Auto Museum,Museum,Abu Dhabi,5 ~ 10,,
Ajman Ladies Park,Ladies Park,Ajman,Free,,